Noncampuscrime060708[1,2,3].csv
University of California-Berkeley,University of California Washington Academic Cente,1608 Rhode Island Avenue
University of California-Davis,Main Campus,One Shields Avenue
University of California-Davis,UC Davis Medical Center,2315 Stockton Blvd.
University of California-Irvine,Main Campus,University of California
University of California-Irvine,UCI Medical Center,101 The City Drive
University of California-Los Angeles,UCLA,405 HILGARD AVE
University of California-Riverside,Main Campus,900 UNIVERSITY AVE
University of California-San Diego,Main Campus,9500 GILMAN DR (0005)
University of California-San Francisco,Main Campus,500 PARNASSUS AVE
University of California-Santa Barbara,Main Campus,1209 Public Safety Building
University of California-Santa Cruz,Main Campus,1156 HIGH ST
Institute of Transpersonal Psychology,Institute of Transpersonal Psychology,1069 E. Meadow Circle
California Beauty School,Main Campus,1115 15TH ST
California Christian College,Main Campus,4881 E UNIVERSITY AVE
California College-San Diego,Main Campus,2820 CAMINO DEL RIO SOUTH
California Culinary Academy,Main Campus,350 Rhode Island Street
California Hair Design Academy,California Hair Design Academy,Inc.
California Institute of the Arts,Main Campus,24700 W MCBEAN PKY
California Maritime Academy,The California  Maritime   Academy/CSU,200 Maritime Academy Drive
California Western School of Law,Main Campus,225 CEDAR ST
Canada College,Canada College,4200 FARM HILL BLVD
College of the Canyons,College of the Canyons,26455 ROCKWELL CANYON RD
Career Academy of Beauty,Main Campus,12471 VALLEY VIEW
Casa Loma College-Van Nuys,Main Campus,6725 Kester Ave
