Noncampuscrime060708[1,2,3].csv
Georgia Institute of Technology-Main Campus,Savannah Campus,210 Technology Circle
Georgia Southwestern State University,GEORGIA SOUTHWESTERN STATE UNIVERSITY,800 Georgia Southwestern State University Dr.
Gainesville State College,Gainesville Campus,3820 MUNDY MILL RD
Gainesville State College,Oconee Campus,1201 Bishop Farm Parkway
Georgia College & State University,Milledgeville Campus,231 W HANCOCK ST
Georgia College & State University,Macon Campus,433 Cherry Street
Georgia College & State University,Robins Center - Robins Air Force Base,620 Ninth Street
Georgia Military College-Milledgeville Campus,Main Campus,201 E GREENE ST
Georgia Southern University,Main Campus,HWY 301 S
Georgia State University,Main Campus,PO Box 3965
University of Georgia,Main Campus,The University of Georgia
Gordon College,Main Campus,419 COLLEGE DR
Griffin Technical College,Main Campus,501 VARSITY RD
Gupton Jones College of Funeral Service,Main Campus,5141 SNAPFINGER WOODS DR
Gwinnett College,Main Campus,4230 HWY 29 STE 11
Gwinnett Technical College,Main Campus,5150 SUGARLOAF PKY
Heart of Georgia Technical College,Main Campus,560 PINEHILL RD
Middle Georgia Technical College,Main Campus,80 COHEN WALKER DR
Interdenominational Theological Center,Interdenominational Theological Cener,700 MARTIN LUTHER KING JR DR
Kennesaw State University,Main Campus,1000 CHASTAIN RD
Savannah River College,Savannah River College,2528 CENTERWEST PKY BLDG A
LaGrange College,LaGrange College,601 Broad St.
Lanier Technical College,Main Campus,2990 LANDRUM EDUCATION DR
Lanier Technical College,Forsyth Campus,7745 MAJORS ROAD
Lanier Technical College,Winder-Barrow Campus,89 EAST ATHENS STREET
Lanier Technical College,Jackson County Campus,631 ELM STREET
Lanier Technical College,Dawson Campus,89 TIGER CIRCLE
Lanier Technical College,LUMPKIN COUNTY ADULT LEARNING CENTER,150 B JOHNSON STREET
Lanier Technical College,HALL COUNTY ADULT LEARNING CENTER,4 1/2 STALLWORTH STREET
Lanier Technical College,BANKS COUNTY ADULT LEARNING CENTER,137 EAGLES NEST DRIVE
Lanier Technical College,Dawson County Adult Learning Center,223 Allen Street
Life University,Life University,1269 Barclay Circle
Central Georgia Technical College,Macon Campus,3300 MACON TECH DR
Central Georgia Technical College,Crawford County Center Campus,640 Georgia Highway 128
Central Georgia Technical College,Putnam County Center Campus,580 James Marshall Bypass
Central Georgia Technical College,Milledgeville Campus,54 Highway 22 W.
Macon State College,Main Campus,100 COLLEGE STATION DR
Macon State College,Warner Robins campus,100 University Boulevard
Chattahoochee Technical College,Main Campus,980 S COBB DR
Chattahoochee Technical College,Paulding Campus,400 NATHAN DEAN BOULEVARD
Chattahoochee Technical College,South Cobb Campus,1578 VETERANS MEMORIAL HIGHWAY
Chattahoochee Technical College,Mountain View Campus,2680 Gordy Parkway NE
Herzing University,Main Campus,3393 PEACHTREE ROAD
Medical College of Georgia,Main Campus,1120 FIFTEENTH ST
Medical College of Georgia,School of Nursing-Athens (SONAT),1905 Barnett Shoals Road
Mercer University,Macon Campus,1400 COLEMAN AVENUE
Mercer University,Atlanta Campus,3001 Mercer University Drive
Middle Georgia College,Main Campus,1100 Second Street SE
Middle Georgia College,Dublin Campus of Middle Georgia College,1900 Bellevue Rd.
Middle Georgia College,Eastman Campus,71 Airport Road
Morehouse College,Morehouse College,830 WESTVIEW DR SW
Morehouse School of Medicine,MOREHOUSE SCHOOL OF MEDICINE,720 WESTVIEW DRIVE
Moultrie Technical College,Moultrie Technical College,800 Veteran's Parkway
North Georgia College & State University,Main Campus,82 COLLEGE CIRCLE
North Georgia Technical College,Main Campus,1500 GEORGIA HWY 197
North Georgia Technical College,NGTC - Blairsville Campus,434 Meeks Avenue
North Georgia Technical College,North Georgia Technical College - Currahee,8989 GA Hwy 17 S
Oglethorpe University,Oglethorpe University,4484 PEACHTREE RD NE
The Esani Institute,Main Campus,4971 COURTNEY DR
Paine College,Paine College,1235 15TH ST
Appalachian Technical College,Chattahoochee Technical College Appalachian Campus,100 CAMPUS DR
Piedmont College,Main Campus,165 CENTRAL AVE
Piedmont College,Piedmont College Athens Center,595 Prince Avenue
Portfolio Center,Main Campus,125 BENNETT ST NW
Reinhardt College,Main Campus,7300 REINHARDT COLLEGE CIR
Savannah Technical College,Savannah Campus,5717 WHITE BLUFF RD
Savannah Technical College,Liberty Campus,100 Technology Drive
Savannah Technical College,Crossroads Satellite,190 Crossroads Parkway
Savannah Technical College,Effingham Satellite,2890 Hwy 21 South
Savannah College of Art and Design,Main Campus,342 BULL ST
Savannah College of Art and Design,Savannah College of Art and Design - Lacoste,Rue Du Four
Savannah College of Art and Design,Savannah College of Art and Design-Atlanta,1600 Peachtree St. NW
Savannah State University,Savannah State University,3219 COLLEGE STREET
Shorter College,Main Campus,315 SHORTER AVE
South Georgia College,Main Campus,100 W COLLEGE PK DR
South Georgia Technical College,Americus Campus,900 South Ga Tech Pkwy
South Georgia Technical College,Crisp County Center,402 North Midway Road
The Creative Circus,Main Campus,812 LAMBERT DR
Spelman College,Main Campus,350 SPELMAN LN SW
Southern Polytechnic State University,Main Campus,1100 S MARIETTA PKY
Swainsboro Technical College,Main Campus,346 KITE RD
Southwest Georgia Technical College,Main Campus,15689 US HWY 19 N
Thomas University,Main Campus,1501 MILLPOND RD
Toccoa Falls College,Main Campus,107 N. Chapel Drive
West Georgia Technical College,Main Campus,1 College Circle
Truett-McConnell College,Cleveland Campus,100 ALUMNI DR
Valdosta Technical College,Main Campus,4089 Val Tech Road
Valdosta State University,Main Campus,1500 N PATTERSON
Northwestern Technical College,Main Campus,265 BICENTENNIAL TRL
Waycross College,Main Campus,2001 S GEORGIA PKY
Wesleyan College,Main Campus,4760 FORSYTH RD
University of West Georgia,Main Campus,1601 MAPLE ST
University of West Georgia,Newnan Campus,7 Solar Circle
Young Harris College,Young Harris College,1 College Street
Heald College-Honolulu,Main Campus,1500 KAPIOLANI BLVD
Chaminade University of Honolulu,Chaminade University of Honolulu,3140 WAIALAE AVE
University of Hawaii at Hilo,Main Campus,200 W KAWILI ST
University of Hawaii at Manoa,Manoa,2444 DOLE ST
University of Hawaii at Manoa,John A. Burns School of Medicine,651 Ilalo Street
Hawaii Institute of Hair Design,Main Campus,1128 Nuuanu Avenue
Hawaii Pacific University,Main Campus,1166 Fort Street Mall
Hawaii Pacific University,Windward Hawaii Loa campus,45-045 Kamehameha Highway
Hawaii Pacific University,Oceanic Institute campus,41-202 Kalanianaole Hwy.
Honolulu Community College,Main Campus,874 DILLINGHAM BLVD
Kapiolani Community College,University of Hawaii - Kapiolani Community College,4303 DIAMOND HEAD RD
Kauai Community College,Kauai Community College,3-1901 KAUMUALII HWY
Leeward Community College,Leeward Community College,96-045 ALA IKE
Maui Community College,Main Campus,310 KAAHUMANU AVE
Med-Assist School of Hawaii Inc,Main Campus,33 S KING STE 223
New York Technical Institute of Hawaii,Main Campus,1375 DILLINGHAM BOULEVARD
World Medicine Institute,Main Campus,P O Box 11130
Travel Institute of the Pacific,Main Campus,1314 S KING ST STE 1164
University of Hawaii-West Oahu,University of Hawaii - West Oahu,96-129 ALA IKE
Windward Community College,Main Campus,45-720 KEAAHALA RD
Apollo College,Apollo College-Boise,1200 NORTH LIBERTY STREET
Boise Bible College,Main Campus,8695 W MARIGOLD ST
Boise State University,Main Campus,1910 UNIVERSITY DR
Career Beauty College,Main Campus,57 COLLEGE AVE
Eastern Idaho Technical College,Main Campus,1600 S 25TH E
Eastern Idaho Technical College,Salmon Innovation Center,803 Monroe
Eastern Idaho Technical College,Teton Middle School,481 North Main Street
Eastern Idaho Technical College,The Develpment Company,104 N. Bridge
Idaho State University,ISU -- Pocatello Campus,921 S. 8th Ave.
Idaho State University,ISU --University Place,Idaho Falls
Idaho State University,ISU -- Boise Center,12301 W. Explorer Drive
University of Idaho,Main Campus,875 Campus Drive
University of Idaho,Idaho Falls Center for Higher Education,1776 Science Center Drive
University of Idaho,Boise Resident Instructional Center,322 East Front Street
University of Idaho,North Idaho Resident Instructional Center,1000 West Hubbard Avenue
University of Idaho,Caine Veterinary Teaching Center,1020 East Homedale Rd.
The College of Idaho,Main Campus,2112 CLEVELAND BLVD
Lewis-Clark State College,Main Campus,500 8TH AVE
ITT Technical Institute-Boise,Main Campus,12302 WEST EXPLORER DR
Mr Juans College of Hair Design,Mr Juans College of Hair Design,586 Blue Lakes Blvd N
Mr Leons School of Hair Design,MOSCOW MAIN CAMPUS,618 S MAIN ST
North Idaho College,Main Campus,1000 W GARDEN AVENUE
Northwest Nazarene University,Main Campus,623 HOLLY ST
The School of Hairstyling,Main Campus,141 East Chubbuck Road
Brigham Young University-Idaho,BYU-Idaho,525 S CENTER
College of Southern Idaho,Main Campus,315 Falls Ave.
Adler School of Professional Psychology,Chicago Campus,65 East Wacker Place
Alvareitas College of Cosmetology,Main Campus,333 South Kansas St
Alvareitas College of Cosmetology,Main Campus,3048 GODFREY RD
American Academy of Art,Main Campus,332 S MICHIGAN AVE
School of the Art Institute of Chicago,Main Campus,37 S WABASH
The College of Office Technology,The College of Office Technology,1520 W DIVISION ST
Augustana College,Main Campus,639 38TH ST
Aurora University,Main Campus,347 S GLADSTONE AVE
Aurora University,George Williams College,350 Constance Blvd.
Concept College of Cosmetology,CONCEPT COLLEGE OF COSMETOLOGY,129 N RACE ST
Southwestern Illinois College,Belleville Campus,2500 Carlyle Ave
Southwestern Illinois College,Red Bud Campus,500 West South Fourth Street
Southwestern Illinois College,Sam Wolf Granite City Campus,4950 Maryville Road
Bethany Theological Seminary,Earlham  College,615 NATIONAL RD W
Black Hawk College,Moline Campus,6600 34TH AVE
Black Hawk College,Kewanee Campus,1501 State Highway 78
Blackburn College,Blackburn College,700 COLLEGE AVE
Blessing Rieman College of Nursing,Main Campus,BROADWAY AT 11TH STREET
Blessing Hospital School of Radiologic Technology,Main Campus,BROADWAY AT 11TH
Bradley University,Main Campus,1501 W BRADLEY AVE
Trend Setters College of Cosmetology,Main Campus,605 EAST  NORTH STREET
Trend Setters College of Cosmetology,Trend Setters College of Cosmetology - Mokena,19031 Old La Grange Road
Cameo Beauty Academy,Main Campus,9714 S CICERO AVE.
Cannella School of Hair Design,Main Campus,617 W. NORTH AVE
Cannella School of Hair Design,Main Campus,9012 S COMMERCIAL
Cannella School of Hair Design,Main Campus,4269 S ARCHER AVE
Cannella School of Hair Design,Belmont Campus,6000 W Belmont
Cannella School of Hair Design,Main Campus,113-117 W CHICAGO ST
Capri Garfield Ridge School of Beauty Culture,Main Campus,2653 W. 63rd Street
Empire Beauty School-Hanover Park,Main Campus,1167 West Lake Street
Capri Oak Forest Beauty College,Main Campus,15815-25 S ROB ROY DR
Carl Sandburg College,Main Campus,2400 Tom L. Wilson Boulevard
Carl Sandburg College,The Branch campus (Carthage),305 Sandburg Drive
Carl Sandburg College,The Extension Center (Bushnell),380 East Main St.
Catholic Theological Union at Chicago,Main Campus,5401 S CORNELL AVE
La James International College,Main Campus,485 42ND AVE
Midwestern University,Midwestern University - Downers Grove Campus,555 31ST STREET
Chicago School of Professional Psychology,Main Campus,325 N. Wells Street
Chicago School of Professional Psychology,The Chicago School of Professional Psychology - Los Angeles,617 W 7th Street
Chicago State University,Main Campus,9501 S. King Drive Suite ADM #313
Chicago Theological Seminary,Chicago Theological Seminary,5757 S. UNIVERSITY AVE
University of Chicago,Main Campus,5801 S ELLIS AVE
University of Chicago,Gleacher Center,450 North Cityfront Plaza Drive
University of Chicago,Paris Center,6 rue Thomas Mann
University of Chicago,Graduate School of Business Asia Campus,101 Penang Road
University of Chicago,Graduate School of Business Europe Campus,25 Basinghall Street
City Colleges of Chicago-Kennedy-King College,Main Campus,6301 S. Halsted St.
City Colleges of Chicago-Kennedy-King College,Dawson Technical Institute,3901 S State St
City Colleges of Chicago-Malcolm X College,Main Campus,1900 W VAN BUREN
City Colleges of Chicago-Malcolm X College,Malcolm X College West Side Learning Center,4624 W Madison Street
City Colleges of Chicago-Olive-Harvey College,Main Campus,10001 S. Woodlawn Ave.
City Colleges of Chicago-Olive-Harvey College,South Chicago Campus,3055 E. 92nd St.
City Colleges of Chicago-Harry S Truman College,Main Campus,1145 W WILSON AVE
City Colleges of Chicago-Harry S Truman College,Lakeview Learning Center,3310 N. Clark Street
City Colleges of Chicago-Richard J Daley College,Main Campus,7500 S PULASKI RD
City Colleges of Chicago-Richard J Daley College,Arturo Velasques Institute,2800 S. Western Ave.
City Colleges of Chicago-Harold Washington College,Main Campus,30 E LAKE ST
City Colleges of Chicago-Wilbur Wright College,Main Campus,4300 N NARRAGANSETT
City Colleges of Chicago-Wilbur Wright College,Wright Humboldt Park Campus,1645 N. California
Columbia College Chicago,Main Campus,600 SOUTH MICHIGAN
Concordia University,Main Campus,7400 AUGUSTA
The Cooking and Hospitality Institute of Chicago,Main Campus,361 West Chestnut
Coyne American Institute Inc,Main Campus,330 N. Green Street
City Colleges of Chicago-District Office,Main Campus,226 W. Jackson Blvd.
Danville Area Community College,Main Campus,2000 E MAIN ST
Concept College of Cosmetology,Concept College of Cosmetology,2500 GEORGETOWN RD
Vees School of Beauty Culture,Vee's School of  Beauty Culture,2701 STATE ST
DePaul University,Main Campus - Lincoln Park Campus,2345 N. Sheffield
DePaul University,Loop Campus,1 E. Jackson
DePaul University,Naperville Campus,150 West Warrenville Road
DePaul University,O'Hare Campus,3166 South River Road
DePaul University,Oak Forest Campus,16333 South Kilbourn Avenue
DePaul University,Rolling Meadows Campus,2550 West Gold Road Suite 255
DePaul University,Grayslake - College of Lake County,19351 West Washington Street
DeVry University-Illinois,Chicago Campus,3300 N CAMPBELL AVE
DeVry University-Illinois,Addison Campus,1221 N. Swift Rd.
DeVry University-Illinois,Tinley Park Campus,18624 W. Creek Dr.
DeVry University-Illinois,Chicago Loop Center,225 E. Washington St
DeVry University-Illinois,Chicago O'Hare Center,8550 W. Bryn Mawr Ave. Suite 450
DeVry University-Illinois,Elgin Center,2250 Point Blvd.
DeVry University-Illinois,Naperville Center,2056 Westings Ave. Suite 40
DeVry University-Illinois,Schaumburg Center,1051 Perimeter Drive
DeVry University-Illinois,Oakbrook Terrace Center,One Tower Lane
DeVry University-Illinois,Gurnee Center,1075 Tri-State Parkway
DeVry University-Illinois,Lincolnshire Center,25 Tri-State International Center
Cosmetology & Spa Institute,CSI THE COSMETOLOGY AND SPA INSTITUTE,700 E. TERRA COTTA
College of DuPage,Main Campus,425 Fawell Blvd.
College of DuPage,C.O.D.  Addison Center,301 S. Swift Rd
College of DuPage,C.O.D. Naperville Center,1223 Rickert Dr.
College of DuPage,C.O.D. Westmont Center,650 Pasquinelli Dr.
College of DuPage,C.O.D.  Center for Independent Learning at Bloomin,162 S. Bloomingdale Rd.
College of DuPage,Carol Stream Community Education Center,500 North Kuhn Road
East-West University,Main Campus,816 S MICHIGAN AVE
Eastern Illinois University,Main Campus,600 LINCOLN AVE
Elgin Community College,Spartan Drive Campus,1700 SPARTAN DR
Elmhurst College,Main Campus,190 PROSPECT AVE
Eureka College,Main Campus,300 COLLEGE AVE
First Institute Inc,Main Campus,790 MCHENRY AVE
Fox College Inc,Main Campus,6640 S. Cicero
Garrett-Evangelical Theological Seminary,Main Campus,2121 SHERIDAN RD
Gem City College,Main Campus,700 STATE ST
Governors State University,Main Campus,1 UNIVERSITY PKY
Graham Hospital School of Nursing,Main Campus,210 W WALNUT ST
Greenville College,Main Campus,315 E. COLLEGE AVE.
Hair Professionals Academy of Cosmetology,Main Campus,825 B6 Village Quarter Road
Hair Professionals Career College Inc,Main Campus,2245 Gateway Drive
Hair Professionals School of Cosmetology,Main Campus,5460 RTE 34
Harrington College of Design,Harrington College of Design,200 W. Madison
Hebrew Theological College,Main Campus,7135 N CARPENTER RD
Highland Community College,Main Campus,2998 W PEARL CITY RD
Rosalind Franklin University of Medicine and Science,Main Campus,3333 GREEN BAY RD
University of Illinois at Chicago,Main Campus,601 S Morgan
