Noncampuscrime060708[1,2,3,4].csv
American University,Tenley Campus,4300 Nebraka Avenue,N.W.
American University,Washington College of Law,4801 Massachusetts Ave,NW
Catholic University of America,The Catholic University of America,620 Michigan Avenue,NE
Corcoran College of Art and Design,Main Campus,500 17TH ST NW,WASHINGTON
University of the District of Columbia,Van Ness Campus (Main),4200 Connecticut Avenue,N.W.
Dominican House of Studies,Main campus,487 Michigan Ave,NE
Gallaudet University,Main Campus,800 FLORIDA AVE NE,WASHINGTON
George Washington University,Main Campus,2121 EYE ST NW,WASHINGTON
George Washington University,Mount Vernon Campus,2100 Foxhall Road,Washington
George Washington University,Loudoun County Campus (Virginia),20101 Academic Way,Ashburn
George Washington University,Alexandria Graduate Education Ctr,1775B Duke Street,Alexandria
George Washington University,Arlington Graduate Education Center,3601 Wilson Blvd 4th Floor,Arlington
George Washington University,Hampton Roads Center,1 Old Oyster Point Road,Newport News
George Washington University,Capitol Hill Hall of States Building,444 North Capitol Street,Washington
George Washington University,Capitol Hill: Shakespeare Theatre,516 8th Street,SE
George Washington University,Hanover High School,10307  Chamberlayne Road,Mechanicsville
Georgetown University,Georgetown University Main Campus,37TH AND O ST NW,WASHINGTON
Georgetown University,Georgetown University Law Center,600 New Jersey Avenue,N.W.
Georgetown University,Villa Le Balze,Feisole,Italy
Georgetown University,McGhee Cen for East Medit Studies,Alanya,Turkey
Georgetown University,Education City,Doha,Qatar
Howard University,HOWARD UNIVERSITY MAIN CAMPUS,2400 SIXTH ST NW,Washington
Howard University,SCHOOL FOR CONTINUING EDUCATION SILVER SPRING,MD CAMPUS,1100 WAYNE AVENUE
Howard University,DIVINITY SCHOOL (EAST) CAMPUS,1400 SHEPHERD STREET N.E.,WASHINGTON
Howard University,LAW  SCHOOL (WEST) CAMPUS,2900 VAN NESS STREET N.W.,WASHINGTON
Dudley Beauty College,Dudley Beauty College,2031 RHODE ISLAND AVE NE,WASHINGTON
Sanz School,Main Campus,6182 Arlington Boulevard,Falls Church
Sanz School,Sanz School - Silver Spring Campus,8455 Colesville Road,Silver Spring
Sanz School,Sanz School - Falls Church Campus,6182 Arligton Blvd.,Falls Church
Southeastern University,Main Campus,501 I ST SW,WASHINGTON
Strayer University,Main Campus,1133 15TH ST NW,WASHINGTON
Strayer University,STRAYER UNIVERSITY-ARLINGTON CAMPUS,2121 15th Street North,ARLINGTON
Strayer University,STRAYER UNIVERSITY-WOODBRIDGE CAMPUS,13385 MINNIEVILLE RD,WOODBRIDGE
Strayer University,STRAYER UNIVERSITY-FREDERICKSBURG CAMPUS,150 Riverside Parkway,FREDERICKSBURG
Strayer University,STRAYER UNIVERSITY-ALEXANDRIA CAMPUS,2730 EISENHOWER AVE,ALEXANDRIA
Strayer University,STRAYER UNIVERSITY-LOUDOUN CAMPUS,45150 RUSSELL BRANCH PKY STE 200,ASHBURN
Strayer University,STRAYER UNIVERSITY-MANASSAS CAMPUS,9990 BATTLEVIEW PKY,MANASSAS
Strayer University,STRAYER UNIVERSITY-TAKOMA PARK CAMPUS,6830 LAUREL ST NW,WASHINGTON
Strayer University,STRAYER UNIVERSITY-PRINCE GEORGES CAMPUS,4710 AUTH PLACE -- 1ST FLOOR,SUITLAND
Strayer University,STRAYER UNIVERSITY-HENRICO CAMPUS,11501 NUCKOLS ROAD,GLEN ALLEN
Strayer University,STRAYER UNIVERSITY-ANNE ARUNDEL CAMPUS,1111 Benfield Blvd.,Suite 100
Strayer University,STRAYER UNIVERSITY-WHITE MARSH CAMPUS,9920 Franklin Square Dr.  Suite 200,BALTIMORE
Strayer University,STRAYER UNIVERSITY ROCKVILLE CAMPUS,4 Research Place,Rockville
Strayer University,STRAYER UNIVERSITY-CHESTERFIELD CAMPUS,2820 WATERFORD LAKE DR,
Strayer University,STRAYER UNIVERSITY-CHESAPEAKE CAMPUS,700 INDEPENDENCE PKWY-STE 400,CHESAPEAKE
Strayer University,STRAYER UNIVERSITY-NEWPORT NEWS CAMPUS,813 DILIGENCE DR-STE 100,NEWPORT NEWS
Strayer University,STRAYER UNIVERSITY-OWINGS MILLS CAMPUS,500 REDLAND CT-STE 100,OWINGS MILLS
Strayer University,STRAYER UNIVERSITY-ONLINE CAMPUS,P.O. Box  487,Newington
Strayer University,STRAYER UNIVERSITY-RTP  CAMPUS,4 Copley Parkway,MORRISVILLE
Strayer University,STRAYER UNIVERSITY-NORTH CHARLOTTE CAMPUS,8335 IBM DR-STE 150,CHARLOTTE
Strayer University,STRAYER UNIVERSITY-SOUTH CHARLOTTE CAMPUS,9101 Kings Parade Blvd.,Suite 200
Strayer University,STRAYER UNIVERSITY-NASHVILLE CAMPUS,30 Rachel Drive,Suite 200
Strayer University,STRAYER UNIVERSITY THOUSAND OAKS CAMPUS,2620 Thousand Oaks Boulevard - Suite 1100,MEMPHIS
Strayer University,STRAYER UNIVERSITY-NORTH RALEIGH CAMPUS,3200 Spring Forest Road - Suite 214,RALEIGH
Strayer University,STRAYER UNIVERSITY-LOWER BUCKS CAMPUS,3600 Horizon Blvd - Ste 100,TREVOSE
Strayer University,STRAYER UNIVERSITY-DELAWARE COUNTY CAMPUS,760 W Sproul Rd - Suite 200,SPRINGFIELD
Strayer University,STRAYER UNIVERSITY KING OF PRUSSIA CAMPUS,234 Mall Blvd,King of Prussia
Strayer University,STRAYER UNIVERSITY CHAMBLEE CAMPUS,3355 Northeast Expressway,Atlanta
Strayer University,STRAYER UNIVERSITY COBB COUNTY CAMPUS,3101 Towercreek Parkway SE,Suite 700
Strayer University,STRAYER UNIVERSITY SHELBY OAKS CAMPUS,6211 Shelby Oaks Dr.,Suite 100
Strayer University,STRAYER UNIVERSITY GREENVILLE CAMPUS,555 North Pleasantburg Dr.,Suite 300
Strayer University,STRAYER UNIVERSITY-CHRISTIANA CAMPUS,240 Continental Drive,Suite 108
Strayer University,STRAYER UNIVERSITY-TAMPA EAST CAMPUS,6302 E Martin Luther King Blvd.,Ste 450
Strayer University,STRAYER UNIVERSITY-TAMPA WESTSHORE CAMPUS,4902 Eisenhower Blvd.,Suite 100
Strayer University,STRAYER UNIVERSITY-MORROW CAMPUS,Southlake Corporate Center,3000 Corporate Center Drive
Strayer University,STRAYER UNIVERSITY-GREENSBORO CAMPUS,4900 Koger Blvd,Suite 400
Strayer University,STRAYER UNIVERSITY-CENTER CITY CAMPUS,Three Parkway,1601 Cherry Street
Strayer University,STRAYER UNIVERSITY-CRANBERRY WOODS CAMPUS,Regional Learning Alliance,850 Cranberry Woods Drive
Strayer University,STRAYER UNIVERSITY-PENN CENTER WEST CAMPUS,One Penn Center West,Ste 320
Strayer University,STRAYER UNIVERSITY-COLUMBIA CAMPUS,200 Center Point Circle,Suite 300
Strayer University,STRAYER UNIVERSITY-BIRMINGHAM CAMPUS,3570 Grandview Parkway,Suite 200
Strayer University,STRAYER UNIVERSITY-HUNTSVILLE CAMPUS,4955 Corporate Dr. NW,Suite 200
Strayer University,STRAYER UNIVERSITY-BAYMEADOWS CAMPUS,8375 Dix Ellis Trail,Suite 200
Strayer University,STRAYER UNIVERSITY-CORAL SPRINGS CAMPUS,5830 Coral Ridge Drive,Suite 300
Strayer University,STRAYER UNIVERSITY-FT. LAUDERDALE CAMPUS,2307 West Broward Blvd.,Suite 100
Strayer University,STRAYER UNIVERSITY-MAITLAND CAMPUS,850 Trafalgar Court,Suite 360
Strayer University,STRAYER UNIVERSITY-ORLANDO EAST CAMPUS,2200 North Alafaya Trail,Suite 500
Strayer University,STRAYER UNIVERSITY-PALM BEACH GARDENS,11025 RCA Center Drive,Suite 200
Strayer University,STRAYER UNIVERSITY-SAND LAKE CAMPUS,8541 South Park Circle Building 900,Orlando
Strayer University,STRAYER UNIVERSITY-AUGUSTA CAMPUS,1330 Augusta West Parkway,Augusta
Strayer University,STRAYER UNIVERSITY-DOUGLASVILLE CAMPUS,4655 Timber Ridge Drive,Douglasville
Strayer University,STRAYER UNIVERSITY-LITHONIA CAMPUS,3120 Stonecrest Blvd.,Suite 200
Strayer University,STRAYER UNIVERSITY-ROSWELL CAMPUS,100 Mansell Court East,Suite 100
Strayer University,STRAYER UNIVERSITY-SAVANNAH CAMPUS,20 Martin Court,Savannah
Strayer University,STRAYER UNIVERSITY-LEXINGTON CAMPUS,220 Lexington Green Circle,Suite 550
Strayer University,STRAYER UNIVERSITY-LOUISVILLE CAMPUS,2650 Eastpoint Parkway,Suite 100
Strayer University,STRAYER CAMPUS-CHERRY HILL CAMPUS,2201 Route 38,Suite 100
Strayer University,STRAYER UNIVERSITY-GARNER CAMPUS,1812 Garner Station Blvd.,Raleigh
Strayer University,STRAYER UNIVERSITY-HUNTERSVILLE CAMPUS,13620 Reese Blvd.,Suite 130
Strayer University,STRAYER UNIVERSITY-CHARLESTON CAMPUS,5010 Wetland Crossing,North Charleston
Strayer University,STRAYER UNIVERSITY-KNOXVILLE CAMPUS,10118 Parkside Drive,Suite 200
Strayer University,STRAYER UNIVERSITY-VIRGINIA BEACH CAMPUS,249 Central Park Ave.,Suite 350
Strayer University,STRAYER UNIVERSITY WILLINGBORO,300 Willingboro Parkway,Willingboro Town Center
National Conservatory of Dramatic Arts,Main Campus,1556 WISCONSIN AVE NW,WASHINGTON
Trinity Washington University,Trinity,125 Michigan Avenue,N.E.
Wesley Theological Seminary,Wesley Theological Seminary,4500 MASSACHUSETTS AVE NW,WASHINGTON
Wyotech-Daytona,Main Campus,470 Destination Daytona Lane,ORMOND BEACH
The Art Institute of Fort Lauderdale Inc,The Art Institute of Fort Lauderdale,1799 SE 17TH ST,FT LAUDERDALE
Atlantic Technical Center,ATLANTIC TECHNICAL CENTER,4700 COCONUT CREEK PKY,COCONUT CREEK
The Baptist College of Florida,Main Campus,5400 COLLEGE DR,GRACEVILLE
The Baptist College of Florida,Orlando Site,3000 S. John Young Pkwy,Orlando
The Baptist College of Florida,Jacksonville Site,124 W. Ashley St,Jacksonville
The Baptist College of Florida,Pensacola Site,1836 East Olive Rd.,Pensacola
Barry University,Main Campus,11300 NE 2ND AVE,MIAMI
Barry University,Barry University-Law School,6441 East Colonial DR,Orlando
Gooding Institute of Nurse Anesthesia,Main Campus,615 N BONITA AVE,PANAMA CITY
Bethune-Cookman University,Main Campus,640 Dr. Mary McLeod Bethue Blvd.,Daytona Beach
Lynn University,Main Campus,3601 N. MILITARY TRAIL,BOCA RATON
Bradenton Beauty and Barber Academy,Main Campus,5505 MANATEE AVE W,BRADENTON
Bradford-Union Area Career Technical Center,Bradford Union Career Technical Center,609 N ORANGE ST,STARKE
Brevard Community College,Brevard Community College-Cocoa Campus,1519 CLEARLAKE RD,COCOA
Brevard Community College,Brevard Community College-Melbourne Campus,3865 North Wickham Rd,Melbourne
Brevard Community College,Brevard Community College-Titusville Campus,1311 North US 1,Titusville
Brevard Community College,Brevard Community College-Palm Bay Campus,250 Community College Pkwy,Palm Bay
Broward College,Central Campus,3501 SW Davie Rd,Davie
Broward College,North Campus,1000 COCONUT CREEK BOULEVARD,COCONUT CREEK
Broward College,South Campus,7200 PINES BOULEVARD,PEMBROKE PINES
Broward College,Willis Holcombe Center,225 E LAS OLAS BLVD,FORT LAUDERDALE
Broward College,Tigertail Campus,280 Gulfstream Blvd.,DANIA BEACH
Central Florida College,Central Florida College,1573 W. Fairbanks Ave,Winter Park
Carlos Albizu University-Miami Campus,Carlos Albizu University,Miami Campus,2173 N.W.  99th Avenue
Central Florida Community College,Main Campus,3001 SW COLLEGE RD,OCALA
Florida Christian College Inc,Main Campus,1011 BILL BECK BLVD,KISSIMMEE
University of Central Florida,Main Campus,4000 CENTRAL FLORIDA BLVD,ORLANDO
Charlotte Technical Center,CHARLOTTE TECHNICAL CENTER,18150 MURDOCK CIRCLE,PORT CHARLOTTE
Chipola College,Main Campus,3094 INDIAN CIRCLE,MARIANNA
Clearwater Christian College,Main Campus,3400 GULF TO BAY BLVD,CLEARWATER
Lorenzo Walker Institute of Technology,Main Campus,3702 ESTEY AVE,NAPLES
Daytona State College,Daytona State College Daytona Beach Campus,1200 West International Speedway Blvd.,Daytona Beach
Daytona State College,New Smyrna Beach/Edgewater Campus,940 10th Street,New Smyrna Beach
Daytona State College,Flagler/Palm Coast Campus,3000 Palm Coast Parkway SE,Palm Coast
Daytona State College,DeLand Campus,1155 County Road 4139,DeLand
Daytona State College,Advanced Technology Center,1770 Technology Boulevard,Daytona Beach
Daytona State College,Deltona Center,2351 Providence Boulevard,Deltona
South University-West Palm Beach,South University-West Palm Beach,1760 N CONGRESS AVE,WEST PALM BEACH
Eckerd College,Main Campus,4200 54TH AVE S,ST PETERSBURG
Eckerd College,P.E.L.- Sarasota Center,1549 Ringling Blvd. Suite 500,Sarasota
Eckerd College,P.E.L.- North Pinellas Center,Emmanuel Church,1150 County Road 1
Eckerd College,P.E.L.- Tampa Center,1300 North Westshore Blvd.,Suite 135
Eckerd College,P.E.L.- Seminole Center,St. Petersburg College,9200 113th Street North
Eckerd College,London Center,UK,35 Gower Street
Edison State College,Main Campus,8099 College Parkway,Fort Myers
Edison State College,Charlotte County Campus,26300 AIRPORT RD,PUNTA GORDA
Edison State College,Collier County Campus,7007 LELY CULTURAL PKWY,NAPLES
Edison State College,Hendry Glades,4050 Cowboy Way,LaBelle
Edward Waters College,Main Campus,1658 KINGS RD,JACKSONVILLE
Embry Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL Campus,600 S CLYDE MORRIS BLVD
Florida Agricultural and Mechanical University,Main Campus,Lee Hall    1601 S. Martin Luther King Jr. Blvd,TALLAHASSEE
Florida Atlantic University,Boca Raton,777 GLADES RD,BOCA RATON
Florida Atlantic University,Port St. Lucie Campus,500 N.W. University Blvd.,Port St. Lucie
Florida Atlantic University,MacArthur Campus,5353 Parkside Drive,Jupiter
Florida Atlantic University,Davie Campus,2912 College Avenue,Davie
Florida Atlantic University,SeaTech Campus,101 North Beach Road,Dania Beach
Florida Atlantic University,FAU at Ft. Lauderdale - Downtown,111 East Las Olas Blvd.,Ft. Lauderdale
Florida Atlantic University,FAU at Ft. Lauderdale - Commercial Blvd.,1515 West Commercial Blvd.,Ft. Lauderdale
Florida Community College at Jacksonville,Downtown,101 W STATE ST,JACKSONVILLE
Florida Community College at Jacksonville,Kent,3939 ROOSEVELT BLVD,JACKSONVILLE
Florida Community College at Jacksonville,North,4501 CAPPER ROAD,JACKSONVILLE
Florida Community College at Jacksonville,South,11901 BEACH BLVD,JACKSONVILLE
Florida Community College at Jacksonville,Deerwood,9911 OLD BAYMEADOWS ROAD,JACKSONVILLE
Florida Community College at Jacksonville,Nassau Center,760 William Burgess Blvd,Yulee
Florida Community College at Jacksonville,Cecil Center,5640 New World Ave,Jacksonville
Florida Community College at Jacksonville,Aviation Center of Excellence,13450 Lake Fretwell Street,Jacksonville
Flagler College,Main Campus,74 KING STREET,ST AUGUSTINE
Florida College,Main Campus,119 N GLEN ARVEN AVE,TEMPLE TERRACE
Concorde Career Institute,Concorde Career Institute,7960 ARLINGTON EXPY,JACKSONVILLE
Concorde Career Institute,Concorde Career Institute,10933 Marks Way,Miramar
Concorde Career Institute,Concorde Career Institute,4202 W SPRUCE ST,TAMPA
Florida Hospital College of Health Sciences,Main Campus,671 Winyah Drive,ORLANDO
Florida Institute of Technology,Main Campus,150 W UNIVERSITY BLVD,MELBOURNE
Florida Institute of Ultrasound Inc,Main Campus,8800 UNIVERSITY PKY STE 4A,PENSACOLA
Florida International University,Modesto A. Maidique Campus,11200 S.W. 8 Street,MIAMI
Florida Keys Community College,Main Campus,5901 COLLEGE RD,KEY WEST
Florida Keys Community College,Middle Keys Center,900 Sombrero Beach Road,Marathon
Florida Keys Community College,Upper Keys Center,89951 US Highway 1,Tavernier
Florida Memorial University,Main Campus,15800 NW 42 AVE,Miami Gardens
Florida Career College,Main - Miami Campus,1321 SW 107 Ave Ste. 201B,MIAMI
Florida Career College,Pembroke Pines Campus,7891 Pines Blvd,Pembroke Pines
Florida Career College,West Palm Beach Campus,6058 Okeechobee Blvd,West Palm Beach
Florida Career College,Hialeah Campus,3750 West 18th Avenue,Hialeah
Florida Career College,Lauderdale Lakes Campus,3383 N. State Road 7,Lauderdale Lakes
Florida School of Massage,Florida School of Massage,6421 SW 13th St,Gainesville
Florida Southern College,Main Campus,111 LAKE HOLLINGSWORTH DR,LAKELAND
Florida Southern College,Orlando Campus,6035 S. Rio Grande Avenue,Orlando
Florida State University,Main Campus,211 WESTCOTT BLDG,TALLAHASSEE
Florida Technical College,Main Campus,12689 Challenger Parkway Suite 130,Orlando
Florida Technical College,Florida Technical College,Deland,1199 S. Woodland Blvd.
Florida Technical College,Florida Technical College,Lakeland,4715 S. Florida Ave. Suite 4
Florida Technical College of Jacksonville Inc,Main Campus,8711 LONE STAR RD,JACKSONVILLE
University of Florida,University of Florida,University of Florida,Gainesville
Everest University-Pompano Beach,Main Campus,225 N. Federal Hwy,Pompano Beach
Fort Pierce Beauty Academy,Main Campus,3028 S US 1,FT PIERCE
Full Sail University,Main Campus,3300 UNIVERSITY BLVD,WINTER PARK
George Stone Career Center,Main Campus,2400 LONGLEAF DR,PENSACOLA
George T Baker Aviation School,Main Campus,3275 N.W. 42nd Avenue,Miami
Gulf Coast Community College,Panama City Main Campus,5230 W HWY 98,PANAMA CITY
Key College,Key College,225 E. Dania Beach Blvd,Dania Beach
Hillsborough Community College,Dale Mabry Campus,4001 Tampa Bay Blvd.,TAMPA
Hillsborough Community College,Ybor City Campus,2001 14th Street,Tampa
Hillsborough Community College,Plant City Campus,1206 North Park Road,Plant City
Hillsborough Community College,Brandon Campus,10414 East Columbus Drive,Tampa
Hobe Sound Bible College,Main Campus,11298 SE GOMEZ,HOBE SOUND
Cortiva Institute-Florida,Main Campus,4045 PARK BLVD,PINELLAS PARK
Indian River State College,Main Campus,3209 VIRGINIA AVE,FT PIERCE
International Academy of Design and Technology,Main Campus,5104 Eisenhower Boulevard,Tampa
International Academy,Main Campus,2550 S RIDGEWOOD AVE,SOUTH DAYTONA
Ai Miami International University of Art and Design,Miami International University of Art and Design,1501 Biscayne Blvd.,MIAMI
